Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
Control4,T_30_0,T_30,0,80.02496273166666,27020.61192948106,337.6522900745912,0.0,0.8382054458707858,0.13343174209874265,0.02836281203047157,5.6312722117546645,0.004810635,80.02977336666666,-0.2531159861335309,0.37198513324722565,14112,23677,229
R2R4,T_31_0,T_31,0,80.02496273166666,10785.924191715734,134.78199581150992,0.0,0.34942140917837466,0.4104699897197986,0.24010860110182672,2.2463144396663024,0.004810635,80.02977336666666,-0.17108293406040712,0.4127105464322429,15657,22120,88
Control,T_32_0,T_32,0,80.02496273166666,30839.277771788038,385.37072332286925,0.0,0.8965917178480112,0.08247884650868545,0.020929435643303372,6.433482433764467,0.004810635,80.02977336666666,-0.05445373689101288,0.4693834515117168,17807,19858,301
R2R4,T_33_0,T_33,0,80.02496273166666,6553.630711856194,81.89482991490176,0.0,0.2712391596594354,0.49110367187705933,0.2376571684635053,1.3649350793943162,0.004810635,80.02977336666666,0.04854779460345147,0.5229195771937686,19838,18001,38
Control4,T_34_0,T_34,0,80.02496273166666,15431.053377959302,192.82799830474752,0.0,0.7009252181247858,0.2651237578089991,0.033951024066215044,3.2115395744715833,0.004810635,80.02977336666666,-0.08881701044594092,0.4529614887840367,17184,20534,142
R2R4,T_35_0,T_35,0,80.02496273166666,13470.688633798043,168.33108287681287,0.0,0.42475683369797296,0.4422331760550386,0.13300999024698842,2.808696771629353,0.004810635,80.02977336666666,-0.1067643802393631,0.44658249202625405,16942,20992,118
Control,T_4_0,T_4,0,80.02496273166666,16802.579609124776,209.9667283253333,0.0,0.6188681234678546,0.2691831193821335,0.11194875715001186,3.498989877034322,0.004810635,80.02977336666666,0.26868400229201345,0.6128054405988876,23248,13401,151
R2R4,T_5_0,T_5,0,80.02496273166666,10635.292712191806,132.8996896612526,0.0,0.373276748293223,0.3043730395128766,0.3223502121939004,2.21700429045065,0.004810635,80.02977336666666,0.5054716276090322,0.7433903576982893,28202,9264,87
Control,T_6_0,T_6,0,80.02496273166666,19286.536418539166,241.006502973444,0.0,0.7127869889553734,0.21100772333078524,0.07620528771384137,4.024236178433324,0.004810635,80.02977336666666,0.30747505177932594,0.6406410628146664,24304,12873,146
R2R4,T_7_0,T_7,0,80.02496273166666,16240.165598390582,202.93874616156728,0.0,0.5911115797242797,0.2931966154413897,0.1156918048343306,3.3783910635740684,0.004810635,80.02977336666666,0.1600555229299023,0.572765374172971,21729,15733,142
Control,T_8_0,T_8,0,80.02496273166666,14299.280090854916,178.68524523781565,0.0,0.5233940480269921,0.2511005087381712,0.2255054432348367,2.983198794155327,0.004810635,80.02977336666666,-0.21408983199765702,0.3890397237525371,14759,22800,128
R2R4,T_9_0,T_9,0,80.02496273166666,12849.494322928123,160.56857615809238,0.0,0.5216806811292406,0.3007617892822311,0.17755752958852836,2.684867427012049,0.004810635,80.02977336666666,-0.05754742185412771,0.4649286975775628,17638,19792,95
