Treatment,Name,TrackingRegion,ObjectID,ObsMinutes,TotalDistance,TotalDistancePerMin,PercSleeping,PercWalking,PercMicro,PercResting,AvgSpeed,StartMinutes,EndMinutes,FinalPI,FinalPercentage,Light,NoLight,Transitions
R2R4,T_19_0,T_19,0,9.993737753333333,3349.691157314312,335.17901309718167,0.0,0.7397894736842106,0.15557894736842104,0.10463157894736842,5.59667213847214,0.004810635,9.998548388333333,-0.254122621564482,0.37136842105263157,1764,2966,32
Control,T_2_0,T_2,0,9.993737753333333,3168.195130543948,317.01803756929894,0.0,0.7743157894736842,0.17094736842105263,0.05473684210526316,5.291319307907842,0.004810635,9.998548388333333,0.1280500971712373,0.5498947368421052,2612,2019,31
Control4,T_20_0,T_20,0,9.993737753333333,3609.1845903495223,361.144616702165,0.0,0.7987368421052632,0.11852631578947369,0.08273684210526316,6.013164905636447,0.004810635,9.998548388333333,-0.29471458773784354,0.3511578947368421,1668,3062,32
R2R4,T_21_0,T_21,0,9.993737753333333,2737.436203042377,273.91515272945065,0.0,0.664,0.25157894736842107,0.08442105263157895,4.572981000624535,0.004810635,9.998548388333333,-0.2829391891891892,0.35747368421052633,1698,3038,21
Control,T_22_0,T_22,0,9.993737753333333,3418.884743377146,342.1027074916794,0.0,0.8069473684210526,0.11578947368421053,0.07726315789473684,5.717955796626846,0.004810635,9.998548388333333,-0.36109936575052853,0.3181052631578947,1511,3219,28
R2R4,T_23_0,T_23,0,9.993737753333333,3460.874919539704,346.3043562840496,0.0,0.74,0.168,0.092,5.783654220300035,0.004810635,9.998548388333333,-0.30827702702702703,0.3448421052631579,1638,3098,32
Control,T_24_0,T_24,0,9.993737753333333,3509.623880520849,351.1823070752724,0.0,0.8566315789473684,0.10778947368421053,0.03557894736842105,5.870845761828632,0.004810635,9.998548388333333,-0.26286919831223626,0.3677894736842105,1747,2993,26
R2R4,T_25_0,T_25,0,9.993737753333333,2512.2784468050804,251.38526833637692,0.0,0.6694736842105263,0.2983157894736842,0.032210526315789474,4.20045772969897,0.004810635,9.998548388333333,0.01829787234042553,0.5037894736842106,2393,2307,27
Control4,T_26_0,T_26,0,9.993737753333333,4049.027179843438,405.15643693901376,0.0,0.9084210526315789,0.06694736842105263,0.02463157894736842,6.772796045027617,0.004810635,9.998548388333333,-0.3076434469616769,0.34421052631578947,1635,3088,37
R2R4,T_27_0,T_27,0,9.993737753333333,3053.4382542032013,305.5351590734659,0.0,0.6898947368421052,0.19494736842105262,0.11515789473684211,5.085006950266868,0.004810635,9.998548388333333,-0.45225916453537934,0.27052631578947367,1285,3407,25
Control,T_28_0,T_28,0,9.993737753333333,4125.823376981239,412.84086883359555,0.0,0.9004210526315789,0.08736842105263158,0.012210526315789474,6.890299107249894,0.004810635,9.998548388333333,-0.3210659898477157,0.33789473684210525,1605,3123,38
R2R4,T_29_0,T_29,0,9.993737753333333,3174.3701555645625,317.6359270089688,0.0,0.7863157894736842,0.15747368421052632,0.056210526315789475,5.296249039472785,0.004810635,9.998548388333333,-0.30279898218829515,0.34610526315789475,1644,3072,29
R2R4,T_3_0,T_3,0,9.993737753333333,2158.316782110981,215.96692202485414,0.0,0.6368421052631579,0.24336842105263157,0.11978947368421053,3.594326318536271,0.004810635,9.998548388333333,0.10887996430165105,0.5231578947368422,2485,1997,16
Control4,T_30_0,T_30,0,9.993737753333333,4909.948991438187,491.3025649287737,0.0,0.9374736842105263,0.04863157894736842,0.013894736842105264,8.210554969864106,0.004810635,9.998548388333333,-0.3914327917282127,0.30357894736842106,1442,3297,42
R2R4,T_31_0,T_31,0,9.993737753333333,3452.2124053492935,345.4375620570827,0.0,0.8332631578947368,0.1385263157894737,0.028210526315789474,5.768052546685806,0.004810635,9.998548388333333,-0.020727580372250424,0.48736842105263156,2315,2413,33
Control,T_32_0,T_32,0,9.993737753333333,5114.021020003372,511.72255528694757,0.0,0.9383157894736842,0.03915789473684211,0.022526315789473682,8.518732234965237,0.004810635,9.998548388333333,-0.09533898305084745,0.4494736842105263,2135,2585,48
R2R4,T_33_0,T_33,0,9.993737753333333,1828.1818014812504,182.93273714046325,0.0,0.6943157894736842,0.25663157894736843,0.04905263157894737,3.0622695182387543,0.004810635,9.998548388333333,-0.17836691410392363,0.40778947368421053,1937,2778,15
