ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType,ClosestNeighbor
1,L5,17,977,-127,55,29174,3681064.337,None,296.5650512,35.79535759,83.96342352,2381.736047,96585.40713,High,11/13/2024 12:32:14,657,0,1,One,272.2590678
0,L6,342,1022,-108,101,29174,3681064.337,None,-1,56.59742982,-34.78391664,515.7428257,119887.4527,High,11/13/2024 12:32:14,657,0,1,One,212.0424486
1,L6,553,1043,103,122,29174,3681064.337,None,180,16.00817057,-15.09065528,1448.739437,104169.5938,High,11/13/2024 12:32:14,657,0,1,One,212.0424486
0,R1,875,43,-105,-138,29174,3681064.337,None,-1,0,0,0,19849.34189,NotFound,11/13/2024 12:32:14,657,0,0,None,-1
1,R1,872,46,-108,-135,29174,3681064.337,None,360,0,0,2889.474788,20701.76241,High,11/13/2024 12:32:14,657,0,1,One,-1
0,R2,1359,32,70,-147,29174,3681064.337,None,360,0,0,2889.474788,25751.82931,High,11/13/2024 12:32:14,657,0,1,One,144.4991349
1,R2,1215,44,-74,-135,29174,3681064.337,None,-1,8.004085285,-26.51579673,368.1879231,22632.07758,High,11/13/2024 12:32:14,657,0,1,One,144.4991349
0,R3,1104,429,129,-123,29174,3681064.337,None,90,8.004085285,64.06538125,728.3717609,19294.53232,High,11/13/2024 12:32:14,657,0,1,One,-1
1,R3,1109,446,134,-106,29174,3681064.337,None,-1,0,0,0,41629.46106,NotFound,11/13/2024 12:32:14,657,0,0,None,-1
0,R4,1419,432,131,-119,29174,3681064.337,None,360,0,0,2889.474788,30705.91463,High,11/13/2024 12:32:14,657,0,1,One,54.45181356
1,R4,1412,486,124,-65,29174,3681064.337,None,360,0,0,2889.474788,20933.35739,High,11/13/2024 12:32:14,657,0,1,One,54.45181356
0,R5,1073,1043,96,129,29174,3681064.337,None,-1,8.004085285,64.06538125,2889.474788,23643.95761,High,11/13/2024 12:32:14,657,0,1,One,-1
1,R5,1088,1046,111,132,29174,3681064.337,None,-1,0,0,0,24044.04607,NotFound,11/13/2024 12:32:14,657,0,0,None,-1
0,R6,1406,1046,123,130,29174,3681064.337,None,-1,66.00337813,437.7154897,1808.923274,60609.35496,High,11/13/2024 12:32:14,657,0,1,One,-1
1,R6,1415,1042,132,126,29174,3681064.337,None,135,0,0,0,55250.88798,NotFound,11/13/2024 12:32:14,657,0,0,None,-1
0,L1,97,58,-41,-123,29175,3681189.666,None,-1,0,0,2880.423334,91666.97331,High,11/13/2024 12:32:14,782,0,1,One,234.8275963
1,L1,259,228,121,47,29175,3681189.666,None,-1,28.76873692,-0.721326546,367.0345523,104937.0532,High,11/13/2024 12:32:14,782,0,1,One,234.8275963
0,L2,488,238,43,55,29175,3681189.666,None,-1,0,-63.86469259,1444.201173,67904.41796,High,11/13/2024 12:32:14,782,0,1,One,176.7059705
1,L2,413,78,-32,-105,29175,3681189.666,None,180,108.5262965,-55.13707252,1444.201173,72539.49878,High,11/13/2024 12:32:14,782,0,1,One,176.7059705
0,L3,123,418,-21,-137,29175,3681189.666,None,-1,35.68322648,141.9110985,2374.275116,137062.8176,High,11/13/2024 12:32:14,782,0,1,One,193.0932417
1,L3,12,576,-132,21,29175,3681189.666,None,180,28.76873692,-33.77477602,1444.201173,125863.8814,High,11/13/2024 12:32:14,782,0,1,One,193.0932417
0,L4,388,575,-62,16,29175,3681189.666,None,-1,23.93703602,48.18810381,1444.201173,65927.39931,High,11/13/2024 12:32:14,782,0,1,One,141.3647764
1,L4,448,447,-2,-112,29175,3681189.666,None,-1,0,0,2880.423334,68521.11316,High,11/13/2024 12:32:14,782,0,1,One,141.3647764
0,L5,212,787,68,-135,29175,3681189.666,None,360,0,0,2880.423334,91158.62994,High,11/13/2024 12:32:14,782,0,1,One,269.4531499
1,L5,18,974,-126,52,29175,3681189.666,None,-1,25.23185142,-84.28634257,2374.275116,96588.5694,High,11/13/2024 12:32:14,782,0,1,One,269.4531499
0,L6,343,1029,-107,108,29175,3681189.666,None,81.86989765,56.42013497,-1.414637745,661.2199083,119894.5238,High,11/13/2024 12:32:14,782,0,1,One,209.4683747
1,L6,552,1043,102,122,29175,3681189.666,None,-1,7.979012007,-64.06475258,1444.201173,104170.5938,High,11/13/2024 12:32:14,782,0,1,One,209.4683747
0,R1,875,43,-105,-138,29175,3681189.666,None,-1,0,0,0,19849.34189,NotFound,11/13/2024 12:32:14,782,0,0,None,-1
1,R1,872,46,-108,-135,29175,3681189.666,None,-1,0,0,2880.423334,20701.76241,High,11/13/2024 12:32:14,782,0,1,One,-1
0,R2,1359,32,70,-147,29175,3681189.666,None,-1,0,0,2880.423334,25751.82931,High,11/13/2024 12:32:14,782,0,1,One,144.4991349
1,R2,1215,44,-74,-135,29175,3681189.666,None,360,0,-63.86469259,2880.423334,22632.07758,High,11/13/2024 12:32:14,782,0,1,One,144.4991349
0,R3,1104,429,129,-123,29175,3681189.666,None,-1,0,-63.86469259,726.0900926,19294.53232,High,11/13/2024 12:32:14,782,0,1,One,-1
1,R3,1109,446,134,-106,29175,3681189.666,None,-1,0,0,0,41629.46106,NotFound,11/13/2024 12:32:14,782,0,0,None,-1
0,R4,1419,432,131,-119,29175,3681189.666,None,-1,0,0,2880.423334,30705.91463,High,11/13/2024 12:32:14,782,0,1,One,54.45181356
1,R4,1412,486,124,-65,29175,3681189.666,None,-1,0,0,2880.423334,20933.35739,High,11/13/2024 12:32:14,782,0,1,One,54.45181356
0,R5,1072,1043,95,129,29175,3681189.666,None,180,7.979012007,-0.200059988,1444.201173,23644.95761,High,11/13/2024 12:32:14,782,0,1,One,-1
1,R5,1088,1046,111,132,29175,3681189.666,None,-1,0,0,0,24044.04607,NotFound,11/13/2024 12:32:14,782,0,0,None,-1
0,R6,1406,1046,123,130,29175,3681189.666,None,360,0,-526.6417466,2880.423334,60609.35496,High,11/13/2024 12:32:14,782,0,1,One,-1
1,R6,1415,1042,132,126,29175,3681189.666,None,135,0,0,0,55250.88798,NotFound,11/13/2024 12:32:14,782,0,0,None,-1
0,L1,97,58,-41,-123,29176,3681314.669,None,360,0,0,2887.928379,91666.97331,High,11/13/2024 12:32:14,907,0,1,One,236.9324798
1,L1,261,229,123,48,29176,3681314.669,None,360,17.8881002,-87.04293512,2887.928379,104939.2892,High,11/13/2024 12:32:14,907,0,1,One,236.9324798
0,L2,488,238,43,55,29176,3681314.669,None,360,0,0,2887.928379,67904.41796,High,11/13/2024 12:32:14,907,0,1,One,183.199345
1,L2,397,79,-48,-104,29176,3681314.669,None,-1,128.2465758,157.7583222,1447.96409,72555.53,High,11/13/2024 12:32:14,907,0,1,One,183.199345
0,L3,120,417,-24,-138,29176,3681314.669,None,180,25.2975939,-83.08300018,1447.96409,137065.9799,High,11/13/2024 12:32:14,907,0,1,One,190.5597019
